temperature,humidity,rainfall,wind_speed,pressure,coastal_proximity,elevation,annual_rainfall,cloud_visibility,seasonal_rainfall,flood_risk,cyclone_risk,heatwave_risk,overall_risk
34.3,22.0,96.3,33.5,1006.3,0,885.7,595.3,18.4,542.1,0,0,0,0
32.9,64.9,250.6,105.2,977.8,1,883.9,2928.3,10.6,1631.1,2,2,0,2
36.5,47.2,54.4,143.6,970.3,0,569.9,1576.9,41.0,602.6,0,2,0,2
11.7,56.8,43.7,138.3,947.1,1,1244.1,2355.6,87.6,1197.0,0,2,0,2
36.8,23.7,79.8,43.4,947.2,0,1299.7,1640.4,50.8,1684.8,0,1,0,1
16.2,48.4,234.6,105.3,1001.5,0,913.7,1013.4,75.6,410.5,1,1,0,1
24.4,99.2,224.0,83.5,1001.6,0,343.6,596.3,38.4,608.7,2,1,0,2
18.0,95.4,306.7,47.2,999.0,1,1327.0,2428.6,22.9,365.3,2,2,0,2
38.3,63.1,261.5,64.3,992.5,1,329.0,3492.6,55.9,272.7,2,2,0,2
11.8,28.8,219.6,118.8,978.0,0,577.2,2287.7,52.1,577.7,1,2,0,2
31.0,95.4,238.1,17.2,1019.6,1,1152.9,1520.5,36.4,400.5,1,1,0,1
10.1,77.8,251.9,145.8,1008.6,0,1305.8,1395.3,67.5,1257.0,1,2,0,2
15.8,81.0,188.8,116.8,987.7,0,898.4,1965.8,20.1,789.7,1,2,0,2
47.4,84.5,83.8,36.1,991.1,0,128.5,1958.0,16.2,1545.1,1,0,1,1
39.1,30.3,166.3,82.5,963.9,1,1446.5,3286.7,78.0,1410.7,0,2,0,2
37.1,51.9,235.1,56.0,1021.0,1,181.5,1174.1,40.4,1217.8,2,1,1,2
18.7,37.6,24.8,94.7,960.6,0,1289.5,712.6,31.4,1371.1,0,2,0,2
18.1,30.6,327.4,85.7,982.5,1,1211.2,1071.2,18.7,919.0,2,2,0,2
26.1,57.4,255.2,101.0,1028.6,0,90.9,2684.6,82.1,307.6,2,1,0,2
17.3,62.9,49.1,27.5,981.6,0,664.7,3084.0,59.5,196.1,0,0,0,0
48.0,86.9,339.1,139.0,1016.4,0,609.6,1944.1,87.8,1814.6,2,2,1,2
16.3,20.2,136.6,139.0,1010.7,1,634.5,3372.0,99.6,1156.0,1,2,0,2
37.3,32.4,103.8,145.3,992.1,0,1122.0,671.5,62.6,1055.4,0,2,0,2
42.4,32.6,336.3,12.0,956.7,0,1012.8,1205.6,20.8,1791.5,2,0,1,2
19.4,67.6,216.8,62.9,992.5,1,1402.1,1112.8,74.5,553.5,1,2,0,2
25.0,73.7,105.0,47.4,1007.7,0,14.0,2363.5,60.7,290.0,1,0,0,1
30.4,60.5,46.4,52.4,946.2,0,554.3,973.2,85.0,1436.7,0,1,0,1
33.2,99.0,228.9,1.2,1013.5,1,1397.6,810.8,89.0,602.5,1,1,0,1
43.8,79.4,54.4,42.3,959.0,1,305.4,2402.7,33.8,1028.2,0,2,1,2
44.4,87.7,32.3,63.5,964.9,0,500.3,892.5,98.2,407.0,0,1,0,1
26.8,76.5,196.3,16.8,1025.1,0,818.4,3003.8,62.4,381.4,1,0,0,1
14.8,44.7,314.6,119.4,1017.5,1,315.1,1248.6,19.3,1582.2,2,2,0,2
43.6,52.5,217.2,23.2,1023.7,0,1464.3,2932.3,89.3,147.1,1,0,0,1
38.0,46.6,325.8,120.3,1017.8,0,400.2,2862.1,19.7,1757.1,2,1,1,2
42.6,37.8,285.8,69.0,967.5,0,334.4,2480.1,45.9,629.3,2,1,1,2
12.6,81.9,122.9,76.4,1001.2,1,1408.9,846.0,97.3,439.3,0,2,0,2
46.6,41.2,37.9,65.2,1005.6,1,654.6,3452.7,20.4,1809.1,0,2,1,2
17.2,23.6,152.6,78.0,1012.6,0,546.3,709.9,69.8,727.4,1,1,0,1
21.9,87.8,251.9,45.0,967.8,1,489.3,2591.6,59.9,464.5,2,2,0,2
35.3,50.3,261.8,26.1,991.2,1,821.9,501.2,35.8,916.8,2,1,0,2
32.0,72.4,162.7,66.3,959.2,1,1190.6,3379.5,76.2,1351.8,1,2,0,2
20.8,73.1,216.7,14.0,1025.7,0,1009.2,1173.9,27.9,146.4,1,0,0,1
19.3,58.0,297.4,10.9,977.3,0,1077.5,1651.9,46.0,380.4,2,0,0,2
36.1,91.4,301.2,132.8,1010.1,0,263.8,3373.9,56.6,195.4,2,2,0,2
19.5,87.9,159.8,120.2,1000.1,1,1425.1,3174.3,65.1,1466.6,0,2,0,2
29.2,86.4,191.8,134.6,1006.9,1,675.1,2755.3,85.6,626.9,1,2,0,2
39.6,58.8,83.7,66.0,1004.2,0,407.6,1459.1,58.6,362.9,0,1,1,1
18.8,75.5,247.2,9.6,976.7,1,623.7,1120.5,47.8,1819.2,2,1,0,2
32.2,75.6,299.9,114.8,974.2,0,1414.1,1395.8,45.1,1794.1,2,2,0,2
41.8,63.1,257.1,120.0,1020.8,1,329.1,1807.5,12.6,738.6,2,2,1,2
35.8,52.3,57.8,70.1,951.5,0,1360.4,2275.7,69.7,259.5,0,1,0,1
26.3,89.3,63.6,39.0,969.5,1,490.3,2783.7,44.1,1528.8,0,2,0,2
41.6,40.2,28.7,2.9,988.5,1,336.3,705.9,96.2,176.5,0,1,1,1
11.2,39.8,293.7,93.2,961.5,1,1004.2,2191.9,29.6,1429.0,2,2,0,2
39.1,33.4,212.5,112.2,950.3,0,1447.1,824.3,12.3,692.7,1,2,0,2
35.7,96.7,138.8,107.3,946.8,0,152.9,2817.4,86.5,1240.8,1,2,0,2
14.6,98.7,273.9,52.1,978.6,1,103.4,2442.6,11.1,898.1,2,2,0,2
28.6,54.7,126.8,133.7,981.4,0,653.2,2701.4,96.9,613.2,0,2,0,2
40.7,63.1,169.2,65.3,1005.8,1,483.5,1236.5,94.1,630.0,1,2,1,2
27.1,80.0,199.4,100.2,970.3,1,1276.4,1045.5,29.1,1615.9,1,2,0,2
22.9,90.4,245.4,41.4,940.9,0,128.4,2660.2,54.0,1540.5,2,1,0,2
36.2,71.7,171.8,118.9,948.4,0,606.6,1229.9,69.8,801.1,1,2,0,2
31.0,47.5,348.8,82.6,971.7,1,406.4,1254.2,20.9,465.9,2,2,0,2
14.5,62.9,266.8,27.8,959.5,1,414.7,2268.8,78.4,1233.9,2,2,0,2
47.3,86.6,103.7,54.1,967.2,0,411.5,3422.9,59.8,1425.1,0,1,1,1
14.8,89.5,171.8,130.9,991.7,1,718.1,1522.1,96.9,579.7,1,2,0,2
42.7,29.1,22.9,73.8,991.9,0,227.6,2933.4,95.4,261.8,0,1,2,2
19.4,64.6,145.7,89.4,995.7,1,675.8,1828.2,87.4,1981.1,1,2,0,2
21.6,69.7,213.4,111.0,1025.3,0,938.3,1293.9,17.3,555.7,1,1,0,1
31.0,32.5,143.0,103.4,982.3,0,347.2,2620.9,73.3,962.7,1,1,0,1
36.1,93.9,275.7,93.8,999.5,0,637.7,2133.7,68.3,1826.0,2,1,0,2
41.4,25.7,58.1,46.1,1007.4,1,658.7,1906.1,37.4,864.8,0,1,1,1
20.3,63.2,153.2,89.7,1020.0,1,905.6,577.6,30.6,1381.2,1,2,0,2
42.7,67.0,7.3,114.7,1013.9,0,1144.7,1025.6,56.7,940.2,0,1,0,1
20.6,99.8,152.6,122.1,1027.2,1,521.9,1499.9,70.3,1729.7,1,2,0,2
22.5,75.5,100.9,141.8,1013.2,0,682.2,1443.6,39.1,1943.4,0,2,0,2
25.4,61.2,345.8,98.6,988.8,1,81.3,2055.3,66.0,1047.1,2,2,0,2
26.8,24.1,93.5,19.7,965.9,1,182.1,3419.4,64.8,554.7,1,2,0,2
16.0,64.1,193.3,14.0,1029.3,0,692.2,852.4,84.9,1046.9,1,0,0,1
37.2,60.7,95.7,125.2,1028.2,0,685.2,933.9,27.2,1238.8,0,1,0,1
38.4,30.9,24.4,115.9,1016.9,1,1401.4,2023.2,83.8,637.4,0,2,0,2
21.3,67.0,349.6,73.4,953.4,1,517.7,2155.8,58.9,965.2,2,2,0,2
22.2,35.1,244.1,85.8,961.0,1,65.5,2734.1,73.5,1641.7,2,2,0,2
24.7,73.1,287.3,147.1,984.6,0,189.4,3396.1,39.9,290.7,2,2,0,2
42.1,28.0,318.7,2.3,953.0,0,112.2,2844.6,33.9,1284.2,2,0,2,2
25.1,26.4,115.0,101.2,988.0,1,940.2,3162.3,53.9,1127.9,0,2,0,2
33.5,38.8,239.5,43.1,960.5,0,651.0,795.3,67.0,1757.9,1,1,0,1
26.9,75.5,316.2,6.9,1011.7,1,537.7,1792.1,32.0,882.9,2,1,0,2
35.9,34.4,61.3,91.4,974.4,0,746.5,2249.5,30.9,1312.0,0,1,0,1
27.5,73.3,314.6,69.8,965.9,0,110.8,3335.7,98.9,668.4,2,1,0,2
46.6,75.2,159.9,45.3,1029.9,1,160.0,1644.1,42.3,662.2,1,1,1,1
36.6,21.8,290.5,59.4,940.7,0,1365.9,2735.5,85.0,1815.6,1,1,0,1
39.5,38.4,280.7,32.9,957.1,1,1016.6,2662.8,69.3,1692.8,2,2,0,2
33.9,92.3,226.2,46.3,979.7,1,1098.5,770.4,36.6,1520.2,1,2,0,2
16.7,30.6,188.8,145.7,987.8,1,1245.7,1270.9,84.2,1015.5,1,2,0,2
40.6,79.7,118.6,17.3,1026.7,0,1131.2,1176.8,70.9,1381.4,0,0,0,0
25.1,87.7,195.1,13.5,975.5,1,804.9,1864.4,70.6,1377.4,1,2,0,2
32.2,85.8,329.1,16.3,961.0,0,929.3,3329.5,39.5,1259.2,2,0,0,2
34.6,70.8,162.5,105.2,998.4,0,209.7,3338.8,37.4,1036.0,1,1,0,1
13.7,91.0,47.5,68.0,1000.3,1,881.0,2679.8,89.7,1344.4,0,2,0,2
41.7,69.3,328.7,42.0,1002.1,0,665.1,3351.7,87.0,288.8,2,0,0,2
36.1,63.6,342.2,53.8,975.8,0,1452.3,3347.0,84.2,274.2,2,1,0,2
18.1,71.2,339.9,7.6,970.0,0,1180.5,1115.6,84.7,1153.0,2,0,0,2
32.3,85.0,81.5,116.2,1011.0,0,415.9,3452.1,98.9,1126.4,0,1,0,1
40.3,28.8,303.3,19.8,972.2,0,883.3,547.3,33.9,340.8,2,0,1,2
26.0,29.1,22.2,67.2,972.6,0,678.0,1164.6,65.4,1481.8,0,1,0,1
44.5,72.7,105.6,96.5,942.8,1,1270.9,1778.8,19.7,1453.6,0,2,0,2
26.9,91.9,112.7,22.3,951.4,1,571.4,2292.2,36.5,1060.5,1,2,0,2
26.3,83.4,40.0,98.2,1019.0,0,645.1,3164.3,47.2,1672.1,0,1,0,1
25.2,78.4,109.4,46.9,962.9,0,1030.2,1922.8,18.2,262.2,0,1,0,1
26.4,79.6,130.4,19.5,945.4,1,1005.0,1732.4,88.6,1888.1,0,2,0,2
26.1,93.3,18.0,43.1,968.1,0,866.9,1138.2,69.1,526.1,0,1,0,1
14.1,87.6,128.6,114.4,991.7,1,1267.7,3423.6,83.7,1265.8,0,2,0,2
34.4,22.1,325.2,124.4,964.1,0,409.9,2787.2,92.9,766.9,2,2,1,2
16.9,31.5,230.1,10.4,1006.7,0,137.6,2091.4,43.9,961.9,2,0,0,2
16.0,44.9,113.5,141.2,993.7,0,233.4,2763.3,14.5,255.0,1,2,0,2
26.8,53.9,212.5,62.1,959.4,0,517.8,832.7,71.0,1227.0,1,1,0,1
30.0,44.7,77.2,147.7,944.9,0,452.1,1133.7,22.4,585.5,0,2,0,2
22.5,20.6,261.5,26.4,974.2,0,750.4,3000.1,82.6,236.9,2,0,0,2
42.7,23.4,6.6,138.2,1017.6,1,860.1,2628.5,47.6,318.8,0,2,1,2
10.8,46.0,280.5,92.7,1014.9,1,132.2,3033.5,31.9,1218.9,2,2,0,2
29.9,51.7,108.6,50.9,970.0,0,114.6,2399.7,57.8,468.4,1,1,0,1
39.5,48.1,335.4,96.8,953.3,0,219.7,1091.8,64.2,1544.4,2,2,1,2
34.9,34.2,270.5,74.1,1007.9,1,1021.7,3146.1,67.9,1974.4,2,2,0,2
22.3,97.7,110.6,66.0,982.2,1,1194.5,2274.3,41.7,241.0,0,2,0,2
27.5,23.0,129.1,43.1,998.0,0,922.5,2021.2,51.6,1153.2,0,0,0,0
40.1,91.7,157.4,121.5,998.7,1,907.5,2004.1,96.2,956.0,1,2,0,2
40.8,87.0,343.8,12.6,998.2,0,371.6,1813.3,49.5,1093.2,2,0,0,2
16.0,49.8,99.0,61.3,970.5,0,1183.8,2441.9,15.9,279.6,0,1,0,1
35.8,42.7,253.3,98.5,1021.6,0,500.0,2248.2,22.7,764.7,2,1,0,2
46.8,75.9,137.2,89.3,1024.4,1,838.4,2430.5,39.6,342.8,1,2,0,2
36.7,95.8,349.0,136.9,948.4,1,762.7,554.7,37.8,1907.2,2,2,0,2
